iter	Passed	Remaining
936	3696	248
937	3697	244
938	3699	240
939	3700	236
940	3704	232
941	3706	228
942	3707	224
943	3709	220
944	3711	216
945	3712	211
946	3718	208
947	3719	204
948	3721	199
949	3723	195
950	3725	191
951	3727	187
952	3728	183
953	3733	180
954	3734	175
955	3736	171
956	3740	168
957	3742	164
958	3752	160
959	3753	156
960	3755	152
961	3756	148
962	3758	144
963	3765	140
964	3767	136
965	3772	132
966	3775	128
967	3789	125
968	3791	121
969	3799	117
970	3801	113
971	3803	109
972	3805	105
973	3814	101
974	3819	97
975	3821	93
976	3830	90
977	3833	86
978	3836	82
979	3851	78
980	3854	74
981	3864	70
982	3868	66
983	3879	63
984	3881	59
985	3884	55
986	3896	51
987	3897	47
988	3899	43
989	3901	39
990	3902	35
991	3909	31
992	3910	27
993	3912	23
994	3914	19
995	3915	15
996	3917	11
997	3922	7
998	3925	3
999	3926	0
